student_id,target_career,activity_name,category,status
20,Backend Dev,Next.js,Frontend Dev,Drifting
20,Backend Dev,Next.js,Frontend Dev,Drifting
20,Backend Dev,Statistics,Data Scientist,Drifting
20,Backend Dev,Tailwind,Frontend Dev,Drifting
20,Backend Dev,Tableau,Data Scientist,Drifting
20,Backend Dev,Flask,Backend Dev,Drifting
21,Frontend Dev,Figma,Frontend Dev,On Track
21,Frontend Dev,Keras,Data Scientist,On Track
21,Frontend Dev,JavaScript,Frontend Dev,On Track
21,Frontend Dev,Figma,Frontend Dev,On Track
21,Frontend Dev,React,Frontend Dev,On Track
21,Frontend Dev,Kafka,Backend Dev,On Track
21,Frontend Dev,Scikit-Learn,Data Scientist,On Track
21,Frontend Dev,CSS,Frontend Dev,On Track
21,Frontend Dev,CSS,Frontend Dev,On Track
21,Frontend Dev,Docker,Backend Dev,On Track
22,Frontend Dev,Tailwind,Frontend Dev,On Track
22,Frontend Dev,SQL,Data Scientist,On Track
22,Frontend Dev,Tableau,Data Scientist,On Track
22,Frontend Dev,Figma,Frontend Dev,On Track
22,Frontend Dev,Python,Data Scientist,On Track
22,Frontend Dev,Redux,Frontend Dev,On Track
22,Frontend Dev,React,Frontend Dev,On Track
22,Frontend Dev,Statistics,Data Scientist,On Track
23,Frontend Dev,JavaScript,Frontend Dev,On Track
23,Frontend Dev,TensorFlow,Data Scientist,On Track
23,Frontend Dev,React,Frontend Dev,On Track
23,Frontend Dev,TypeScript,Frontend Dev,On Track
23,Frontend Dev,Tailwind,Frontend Dev,On Track
23,Frontend Dev,React,Frontend Dev,On Track
23,Frontend Dev,Tailwind,Frontend Dev,On Track
24,Data Scientist,Python,Data Scientist,On Track
24,Data Scientist,Python,Data Scientist,On Track
24,Data Scientist,FastAPI,Backend Dev,On Track
24,Data Scientist,Tableau,Data Scientist,On Track
24,Data Scientist,PowerBI,Data Scientist,On Track
24,Data Scientist,Python,Data Scientist,On Track
24,Data Scientist,Scikit-Learn,Data Scientist,On Track
24,Data Scientist,Tailwind,Frontend Dev,On Track
24,Data Scientist,Tableau,Data Scientist,On Track
25,Data Scientist,System Design,Backend Dev,On Track
25,Data Scientist,TensorFlow,Data Scientist,On Track
25,Data Scientist,Keras,Data Scientist,On Track
25,Data Scientist,TensorFlow,Data Scientist,On Track
25,Data Scientist,CSS,Frontend Dev,On Track
25,Data Scientist,Python,Data Scientist,On Track
25,Data Scientist,Keras,Data Scientist,On Track
25,Data Scientist,Scikit-Learn,Data Scientist,On Track
25,Data Scientist,Python,Data Scientist,On Track
26,Frontend Dev,Redux,Frontend Dev,On Track
26,Frontend Dev,HTML,Frontend Dev,On Track
26,Frontend Dev,Next.js,Frontend Dev,On Track
26,Frontend Dev,React,Frontend Dev,On Track
26,Frontend Dev,SQL,Data Scientist,On Track
26,Frontend Dev,Tailwind,Frontend Dev,On Track
26,Frontend Dev,System Design,Backend Dev,On Track
26,Frontend Dev,Tailwind,Frontend Dev,On Track
27,Frontend Dev,Microservices,Backend Dev,Drifting
27,Frontend Dev,Microservices,Backend Dev,Drifting
27,Frontend Dev,Kafka,Backend Dev,Drifting
27,Frontend Dev,Kafka,Backend Dev,Drifting
27,Frontend Dev,Pandas,Data Scientist,Drifting
27,Frontend Dev,Next.js,Frontend Dev,Drifting
27,Frontend Dev,Tailwind,Frontend Dev,Drifting
27,Frontend Dev,FastAPI,Backend Dev,Drifting
28,Backend Dev,Kafka,Backend Dev,On Track
28,Backend Dev,System Design,Backend Dev,On Track
28,Backend Dev,Go,Backend Dev,On Track
28,Backend Dev,Microservices,Backend Dev,On Track
28,Backend Dev,Docker,Backend Dev,On Track
28,Backend Dev,FastAPI,Backend Dev,On Track
28,Backend Dev,Keras,Data Scientist,On Track
29,Frontend Dev,React,Frontend Dev,On Track
29,Frontend Dev,CSS,Frontend Dev,On Track
29,Frontend Dev,Figma,Frontend Dev,On Track
29,Frontend Dev,JavaScript,Frontend Dev,On Track
29,Frontend Dev,HTML,Frontend Dev,On Track
29,Frontend Dev,CSS,Frontend Dev,On Track
30,Backend Dev,Keras,Data Scientist,Drifting
30,Backend Dev,Next.js,Frontend Dev,Drifting
30,Backend Dev,HTML,Frontend Dev,Drifting
30,Backend Dev,Tailwind,Frontend Dev,Drifting
30,Backend Dev,Figma,Frontend Dev,Drifting
30,Backend Dev,TensorFlow,Data Scientist,Drifting
30,Backend Dev,Figma,Frontend Dev,Drifting
31,Backend Dev,Statistics,Data Scientist,Drifting
31,Backend Dev,Docker,Backend Dev,Drifting
31,Backend Dev,TypeScript,Frontend Dev,Drifting
31,Backend Dev,HTML,Frontend Dev,Drifting
31,Backend Dev,React,Frontend Dev,Drifting
31,Backend Dev,Python,Data Scientist,Drifting
31,Backend Dev,Scikit-Learn,Data Scientist,Drifting
32,Data Scientist,Kafka,Backend Dev,On Track
32,Data Scientist,SQL,Data Scientist,On Track
32,Data Scientist,Python,Data Scientist,On Track
32,Data Scientist,Scikit-Learn,Data Scientist,On Track
32,Data Scientist,Pandas,Data Scientist,On Track
32,Data Scientist,PostgreSQL,Backend Dev,On Track
32,Data Scientist,TensorFlow,Data Scientist,On Track
33,Data Scientist,SQL,Data Scientist,On Track
33,Data Scientist,Python,Data Scientist,On Track
33,Data Scientist,TensorFlow,Data Scientist,On Track
33,Data Scientist,CSS,Frontend Dev,On Track
33,Data Scientist,SQL,Data Scientist,On Track
33,Data Scientist,Scikit-Learn,Data Scientist,On Track
33,Data Scientist,Python,Data Scientist,On Track
33,Data Scientist,Redis,Backend Dev,On Track
33,Data Scientist,System Design,Backend Dev,On Track
34,Backend Dev,Kafka,Backend Dev,On Track
34,Backend Dev,Kafka,Backend Dev,On Track
34,Backend Dev,TensorFlow,Data Scientist,On Track
34,Backend Dev,Flask,Backend Dev,On Track
34,Backend Dev,HTML,Frontend Dev,On Track
34,Backend Dev,PostgreSQL,Backend Dev,On Track
34,Backend Dev,CSS,Frontend Dev,On Track
34,Backend Dev,Redis,Backend Dev,On Track
34,Backend Dev,FastAPI,Backend Dev,On Track
35,Data Scientist,HTML,Frontend Dev,Drifting
35,Data Scientist,FastAPI,Backend Dev,Drifting
35,Data Scientist,Microservices,Backend Dev,Drifting
35,Data Scientist,CSS,Frontend Dev,Drifting
35,Data Scientist,HTML,Frontend Dev,Drifting
35,Data Scientist,Go,Backend Dev,Drifting
35,Data Scientist,Redis,Backend Dev,Drifting
36,Frontend Dev,Redis,Backend Dev,Drifting
36,Frontend Dev,Python,Data Scientist,Drifting
36,Frontend Dev,SQL,Data Scientist,Drifting
36,Frontend Dev,Microservices,Backend Dev,Drifting
36,Frontend Dev,Flask,Backend Dev,Drifting
37,Data Scientist,Next.js,Frontend Dev,On Track
37,Data Scientist,CSS,Frontend Dev,On Track
37,Data Scientist,HTML,Frontend Dev,On Track
37,Data Scientist,Keras,Data Scientist,On Track
37,Data Scientist,SQL,Data Scientist,On Track
37,Data Scientist,PowerBI,Data Scientist,On Track
37,Data Scientist,Microservices,Backend Dev,On Track
37,Data Scientist,Pandas,Data Scientist,On Track
37,Data Scientist,Flask,Backend Dev,On Track
38,Frontend Dev,Statistics,Data Scientist,Drifting
38,Frontend Dev,Redis,Backend Dev,Drifting
38,Frontend Dev,Tableau,Data Scientist,Drifting
38,Frontend Dev,TensorFlow,Data Scientist,Drifting
38,Frontend Dev,Next.js,Frontend Dev,Drifting
38,Frontend Dev,Keras,Data Scientist,Drifting
38,Frontend Dev,Flask,Backend Dev,Drifting
39,Backend Dev,FastAPI,Backend Dev,On Track
39,Backend Dev,FastAPI,Backend Dev,On Track
39,Backend Dev,Flask,Backend Dev,On Track
39,Backend Dev,Redis,Backend Dev,On Track
39,Backend Dev,Go,Backend Dev,On Track
39,Backend Dev,System Design,Backend Dev,On Track
39,Backend Dev,Docker,Backend Dev,On Track
39,Backend Dev,FastAPI,Backend Dev,On Track
39,Backend Dev,Redis,Backend Dev,On Track
39,Backend Dev,SQL,Data Scientist,On Track
40,Backend Dev,Tailwind,Frontend Dev,On Track
40,Backend Dev,Redux,Frontend Dev,On Track
40,Backend Dev,Kafka,Backend Dev,On Track
40,Backend Dev,Docker,Backend Dev,On Track
40,Backend Dev,Docker,Backend Dev,On Track
40,Backend Dev,Go,Backend Dev,On Track
40,Backend Dev,FastAPI,Backend Dev,On Track
40,Backend Dev,Tableau,Data Scientist,On Track
40,Backend Dev,FastAPI,Backend Dev,On Track
40,Backend Dev,Docker,Backend Dev,On Track
41,Data Scientist,TensorFlow,Data Scientist,Drifting
41,Data Scientist,Go,Backend Dev,Drifting
41,Data Scientist,Microservices,Backend Dev,Drifting
41,Data Scientist,PostgreSQL,Backend Dev,Drifting
41,Data Scientist,System Design,Backend Dev,Drifting
41,Data Scientist,JavaScript,Frontend Dev,Drifting
42,Data Scientist,Scikit-Learn,Data Scientist,On Track
42,Data Scientist,Scikit-Learn,Data Scientist,On Track
42,Data Scientist,Tailwind,Frontend Dev,On Track
42,Data Scientist,TensorFlow,Data Scientist,On Track
42,Data Scientist,HTML,Frontend Dev,On Track
42,Data Scientist,HTML,Frontend Dev,On Track
42,Data Scientist,Tailwind,Frontend Dev,On Track
43,Backend Dev,Kafka,Backend Dev,On Track
43,Backend Dev,Docker,Backend Dev,On Track
43,Backend Dev,Flask,Backend Dev,On Track
43,Backend Dev,Redis,Backend Dev,On Track
43,Backend Dev,PostgreSQL,Backend Dev,On Track
43,Backend Dev,PostgreSQL,Backend Dev,On Track
43,Backend Dev,SQL,Data Scientist,On Track
43,Backend Dev,JavaScript,Frontend Dev,On Track
44,Data Scientist,Go,Backend Dev,Drifting
44,Data Scientist,JavaScript,Frontend Dev,Drifting
44,Data Scientist,System Design,Backend Dev,Drifting
44,Data Scientist,HTML,Frontend Dev,Drifting
44,Data Scientist,TypeScript,Frontend Dev,Drifting
44,Data Scientist,Next.js,Frontend Dev,Drifting
45,Frontend Dev,Redis,Backend Dev,Drifting
45,Frontend Dev,Redis,Backend Dev,Drifting
45,Frontend Dev,Microservices,Backend Dev,Drifting
45,Frontend Dev,React,Frontend Dev,Drifting
45,Frontend Dev,Redux,Frontend Dev,Drifting
46,Backend Dev,PostgreSQL,Backend Dev,On Track
46,Backend Dev,System Design,Backend Dev,On Track
46,Backend Dev,PostgreSQL,Backend Dev,On Track
46,Backend Dev,Scikit-Learn,Data Scientist,On Track
46,Backend Dev,SQL,Data Scientist,On Track
46,Backend Dev,System Design,Backend Dev,On Track
47,Data Scientist,Tableau,Data Scientist,On Track
47,Data Scientist,Next.js,Frontend Dev,On Track
47,Data Scientist,Docker,Backend Dev,On Track
47,Data Scientist,Next.js,Frontend Dev,On Track
47,Data Scientist,FastAPI,Backend Dev,On Track
47,Data Scientist,Tableau,Data Scientist,On Track
47,Data Scientist,System Design,Backend Dev,On Track
47,Data Scientist,TensorFlow,Data Scientist,On Track
47,Data Scientist,Go,Backend Dev,On Track
47,Data Scientist,PowerBI,Data Scientist,On Track
48,Frontend Dev,PowerBI,Data Scientist,On Track
48,Frontend Dev,Next.js,Frontend Dev,On Track
48,Frontend Dev,Figma,Frontend Dev,On Track
48,Frontend Dev,TypeScript,Frontend Dev,On Track
48,Frontend Dev,Tailwind,Frontend Dev,On Track
48,Frontend Dev,Tableau,Data Scientist,On Track
48,Frontend Dev,Figma,Frontend Dev,On Track
49,Backend Dev,PowerBI,Data Scientist,Drifting
49,Backend Dev,Next.js,Frontend Dev,Drifting
49,Backend Dev,Redis,Backend Dev,Drifting
49,Backend Dev,Next.js,Frontend Dev,Drifting
49,Backend Dev,Keras,Data Scientist,Drifting
49,Backend Dev,CSS,Frontend Dev,Drifting
50,Data Scientist,Tailwind,Frontend Dev,Drifting
50,Data Scientist,SQL,Data Scientist,Drifting
50,Data Scientist,Tableau,Data Scientist,Drifting
50,Data Scientist,Redis,Backend Dev,Drifting
50,Data Scientist,Tableau,Data Scientist,Drifting
50,Data Scientist,PowerBI,Data Scientist,Drifting
50,Data Scientist,Next.js,Frontend Dev,Drifting
50,Data Scientist,Tailwind,Frontend Dev,Drifting
51,Data Scientist,Python,Data Scientist,On Track
51,Data Scientist,Python,Data Scientist,On Track
51,Data Scientist,Statistics,Data Scientist,On Track
51,Data Scientist,Tableau,Data Scientist,On Track
51,Data Scientist,Tableau,Data Scientist,On Track
51,Data Scientist,CSS,Frontend Dev,On Track
51,Data Scientist,Go,Backend Dev,On Track
51,Data Scientist,PostgreSQL,Backend Dev,On Track
52,Backend Dev,System Design,Backend Dev,On Track
52,Backend Dev,PowerBI,Data Scientist,On Track
52,Backend Dev,Kafka,Backend Dev,On Track
52,Backend Dev,Redis,Backend Dev,On Track
52,Backend Dev,Kafka,Backend Dev,On Track
52,Backend Dev,System Design,Backend Dev,On Track
53,Data Scientist,SQL,Data Scientist,On Track
53,Data Scientist,TensorFlow,Data Scientist,On Track
53,Data Scientist,SQL,Data Scientist,On Track
53,Data Scientist,TypeScript,Frontend Dev,On Track
53,Data Scientist,Python,Data Scientist,On Track
53,Data Scientist,PowerBI,Data Scientist,On Track
53,Data Scientist,FastAPI,Backend Dev,On Track
54,Backend Dev,Redux,Frontend Dev,Drifting
54,Backend Dev,TensorFlow,Data Scientist,Drifting
54,Backend Dev,Scikit-Learn,Data Scientist,Drifting
54,Backend Dev,TensorFlow,Data Scientist,Drifting
54,Backend Dev,HTML,Frontend Dev,Drifting
54,Backend Dev,Redux,Frontend Dev,Drifting
54,Backend Dev,Scikit-Learn,Data Scientist,Drifting
54,Backend Dev,FastAPI,Backend Dev,Drifting
54,Backend Dev,TypeScript,Frontend Dev,Drifting
55,Frontend Dev,JavaScript,Frontend Dev,On Track
55,Frontend Dev,TypeScript,Frontend Dev,On Track
55,Frontend Dev,Redux,Frontend Dev,On Track
55,Frontend Dev,CSS,Frontend Dev,On Track
55,Frontend Dev,PostgreSQL,Backend Dev,On Track
55,Frontend Dev,Next.js,Frontend Dev,On Track
55,Frontend Dev,Kafka,Backend Dev,On Track
55,Frontend Dev,Redis,Backend Dev,On Track
55,Frontend Dev,Redux,Frontend Dev,On Track
56,Data Scientist,Next.js,Frontend Dev,On Track
56,Data Scientist,Docker,Backend Dev,On Track
56,Data Scientist,SQL,Data Scientist,On Track
56,Data Scientist,SQL,Data Scientist,On Track
56,Data Scientist,Docker,Backend Dev,On Track
56,Data Scientist,Docker,Backend Dev,On Track
56,Data Scientist,Statistics,Data Scientist,On Track
56,Data Scientist,Scikit-Learn,Data Scientist,On Track
57,Data Scientist,TypeScript,Frontend Dev,On Track
57,Data Scientist,Keras,Data Scientist,On Track
57,Data Scientist,TensorFlow,Data Scientist,On Track
57,Data Scientist,Tailwind,Frontend Dev,On Track
57,Data Scientist,Tableau,Data Scientist,On Track
57,Data Scientist,TypeScript,Frontend Dev,On Track
57,Data Scientist,Python,Data Scientist,On Track
57,Data Scientist,Next.js,Frontend Dev,On Track
57,Data Scientist,PowerBI,Data Scientist,On Track
57,Data Scientist,PowerBI,Data Scientist,On Track
58,Data Scientist,Go,Backend Dev,Drifting
58,Data Scientist,SQL,Data Scientist,Drifting
58,Data Scientist,Redis,Backend Dev,Drifting
58,Data Scientist,Kafka,Backend Dev,Drifting
58,Data Scientist,FastAPI,Backend Dev,Drifting
58,Data Scientist,FastAPI,Backend Dev,Drifting
58,Data Scientist,System Design,Backend Dev,Drifting
58,Data Scientist,Next.js,Frontend Dev,Drifting
58,Data Scientist,SQL,Data Scientist,Drifting
58,Data Scientist,JavaScript,Frontend Dev,Drifting
59,Frontend Dev,Microservices,Backend Dev,Drifting
59,Frontend Dev,TensorFlow,Data Scientist,Drifting
59,Frontend Dev,Scikit-Learn,Data Scientist,Drifting
59,Frontend Dev,Next.js,Frontend Dev,Drifting
59,Frontend Dev,FastAPI,Backend Dev,Drifting
60,Frontend Dev,JavaScript,Frontend Dev,On Track
60,Frontend Dev,JavaScript,Frontend Dev,On Track
60,Frontend Dev,HTML,Frontend Dev,On Track
60,Frontend Dev,PostgreSQL,Backend Dev,On Track
60,Frontend Dev,Kafka,Backend Dev,On Track
60,Frontend Dev,HTML,Frontend Dev,On Track
60,Frontend Dev,HTML,Frontend Dev,On Track
60,Frontend Dev,Keras,Data Scientist,On Track
60,Frontend Dev,Redux,Frontend Dev,On Track
60,Frontend Dev,Figma,Frontend Dev,On Track
61,Backend Dev,HTML,Frontend Dev,On Track
61,Backend Dev,TensorFlow,Data Scientist,On Track
61,Backend Dev,Flask,Backend Dev,On Track
61,Backend Dev,Kafka,Backend Dev,On Track
61,Backend Dev,Python,Data Scientist,On Track
61,Backend Dev,JavaScript,Frontend Dev,On Track
61,Backend Dev,Tailwind,Frontend Dev,On Track
61,Backend Dev,Docker,Backend Dev,On Track
61,Backend Dev,System Design,Backend Dev,On Track
62,Frontend Dev,Microservices,Backend Dev,On Track
62,Frontend Dev,TensorFlow,Data Scientist,On Track
62,Frontend Dev,Redux,Frontend Dev,On Track
62,Frontend Dev,Keras,Data Scientist,On Track
62,Frontend Dev,Next.js,Frontend Dev,On Track
62,Frontend Dev,React,Frontend Dev,On Track
62,Frontend Dev,Redux,Frontend Dev,On Track
63,Frontend Dev,Statistics,Data Scientist,On Track
63,Frontend Dev,FastAPI,Backend Dev,On Track
63,Frontend Dev,HTML,Frontend Dev,On Track
63,Frontend Dev,System Design,Backend Dev,On Track
63,Frontend Dev,Next.js,Frontend Dev,On Track
64,Data Scientist,Flask,Backend Dev,Drifting
64,Data Scientist,Redux,Frontend Dev,Drifting
64,Data Scientist,HTML,Frontend Dev,Drifting
64,Data Scientist,PowerBI,Data Scientist,Drifting
64,Data Scientist,Figma,Frontend Dev,Drifting
64,Data Scientist,Flask,Backend Dev,Drifting
64,Data Scientist,TypeScript,Frontend Dev,Drifting
64,Data Scientist,Tailwind,Frontend Dev,Drifting
64,Data Scientist,HTML,Frontend Dev,Drifting
65,Data Scientist,Microservices,Backend Dev,On Track
65,Data Scientist,System Design,Backend Dev,On Track
65,Data Scientist,Next.js,Frontend Dev,On Track
65,Data Scientist,TypeScript,Frontend Dev,On Track
65,Data Scientist,Tableau,Data Scientist,On Track
65,Data Scientist,TypeScript,Frontend Dev,On Track
65,Data Scientist,Keras,Data Scientist,On Track
65,Data Scientist,Microservices,Backend Dev,On Track
66,Backend Dev,Microservices,Backend Dev,On Track
66,Backend Dev,FastAPI,Backend Dev,On Track
66,Backend Dev,Go,Backend Dev,On Track
66,Backend Dev,Redis,Backend Dev,On Track
66,Backend Dev,Redis,Backend Dev,On Track
66,Backend Dev,HTML,Frontend Dev,On Track
67,Data Scientist,Next.js,Frontend Dev,Drifting
67,Data Scientist,Keras,Data Scientist,Drifting
67,Data Scientist,Figma,Frontend Dev,Drifting
67,Data Scientist,HTML,Frontend Dev,Drifting
67,Data Scientist,Redis,Backend Dev,Drifting
67,Data Scientist,Redis,Backend Dev,Drifting
67,Data Scientist,Flask,Backend Dev,Drifting
67,Data Scientist,Scikit-Learn,Data Scientist,Drifting
67,Data Scientist,TensorFlow,Data Scientist,Drifting
68,Data Scientist,Pandas,Data Scientist,On Track
68,Data Scientist,PowerBI,Data Scientist,On Track
68,Data Scientist,Tableau,Data Scientist,On Track
68,Data Scientist,System Design,Backend Dev,On Track
68,Data Scientist,SQL,Data Scientist,On Track
68,Data Scientist,TensorFlow,Data Scientist,On Track
68,Data Scientist,Python,Data Scientist,On Track
69,Data Scientist,Tailwind,Frontend Dev,On Track
69,Data Scientist,HTML,Frontend Dev,On Track
69,Data Scientist,TypeScript,Frontend Dev,On Track
69,Data Scientist,CSS,Frontend Dev,On Track
69,Data Scientist,Pandas,Data Scientist,On Track
69,Data Scientist,Pandas,Data Scientist,On Track
69,Data Scientist,Figma,Frontend Dev,On Track
69,Data Scientist,Redux,Frontend Dev,On Track
69,Data Scientist,Statistics,Data Scientist,On Track
69,Data Scientist,TensorFlow,Data Scientist,On Track
70,Frontend Dev,Figma,Frontend Dev,On Track
70,Frontend Dev,Kafka,Backend Dev,On Track
70,Frontend Dev,React,Frontend Dev,On Track
70,Frontend Dev,JavaScript,Frontend Dev,On Track
70,Frontend Dev,SQL,Data Scientist,On Track
70,Frontend Dev,TypeScript,Frontend Dev,On Track
70,Frontend Dev,Redux,Frontend Dev,On Track
70,Frontend Dev,CSS,Frontend Dev,On Track
70,Frontend Dev,PostgreSQL,Backend Dev,On Track
71,Data Scientist,Pandas,Data Scientist,On Track
71,Data Scientist,PowerBI,Data Scientist,On Track
71,Data Scientist,Tableau,Data Scientist,On Track
71,Data Scientist,Flask,Backend Dev,On Track
71,Data Scientist,Figma,Frontend Dev,On Track
71,Data Scientist,TensorFlow,Data Scientist,On Track
71,Data Scientist,TensorFlow,Data Scientist,On Track
71,Data Scientist,Python,Data Scientist,On Track
71,Data Scientist,Scikit-Learn,Data Scientist,On Track
71,Data Scientist,Statistics,Data Scientist,On Track
72,Data Scientist,Scikit-Learn,Data Scientist,On Track
